date,time,temperature,humidity,deviceAddress,baudRate,temperatureCorrection,humidityCorrection
2026-08-23,19-04-47,25.8,43.5,1,9600,0,0
2026-08-23,19-04-52,25.8,43.5,1,9600,0,0
2026-08-23,19-04-57,25.8,43.6,1,9600,0,0
2026-08-23,19-05-02,25.8,46.5,1,9600,0,0
2026-08-23,19-05-07,25.8,46,1,9600,0,0
2026-08-23,19-05-12,25.8,45.1,1,9600,0,0
2026-08-23,19-05-17,25.8,44.5,1,9600,0,0
2026-08-23,19-05-22,25.9,44.2,1,9600,0,0
2026-08-23,19-05-48,25.8,43.6,1,9600,0,0
2026-08-23,19-05-53,25.8,43.6,1,9600,0,0
2026-08-23,19-37-23,26,44.4,1,9600,0,0
2026-08-23,19-37-28,26,44.4,1,9600,0,0
2026-08-23,20-05-49,26,43.6,1,9600,0,0
2026-08-23,20-05-55,26,43.5,1,9600,0,0
2026-08-23,20-07-19,26,43.4,1,9600,0,0
2026-08-23,20-07-25,26,43.4,1,9600,0,0
2026-08-23,20-07-30,26,43.4,1,9600,0,0
2026-08-23,20-13-41,26.1,43.2,1,9600,0,0
2026-08-23,20-13-46,26.1,43.2,1,9600,0,0
2026-08-23,20-13-51,26.1,43.2,1,9600,0,0
2026-08-23,20-15-30,26,43.1,1,9600,0,0
2026-08-23,20-15-35,26,43.1,1,9600,0,0
2026-08-23,20-15-40,26,43.2,1,9600,0,0
2026-08-23,20-15-45,26.2,77.5,1,9600,0,0
2026-09-03,14-08-09,29.4,49.1,1,9600,0,0
2026-09-03,14-08-15,29.4,49.1,1,9600,0,0
