date,time,temperature,humidity,deviceAddress,baudRate,temperatureCorrection,humidityCorrection
2026-08-23,17-52-22,26.0,43.8,1,9600,0,0
2026-08-23,17-52-28,26.0,43.9,1,9600,0,0
2026-08-23,17-52-33,26.0,43.9,1,9600,0,0
2026-08-23,17-52-38,26.0,43.8,1,9600,0,0
2026-08-23,17-52-43,26.0,43.8,1,9600,0,0
2026-08-23,17-54-16,26.0,43.8,1,9600,0,0
2026-08-23,17-54-21,26.0,43.8,1,9600,0,0
2026-08-23,17-54-26,26.0,43.8,1,9600,0,0
2026-08-23,17-54-58,26.0,43.8,1,9600,0,0
2026-08-23,17-55-04,26.0,43.8,1,9600,0,0
2026-08-23,17-55-43,26.0,43.8,1,9600,0,0
2026-08-23,17-55-48,26.0,43.8,1,9600,0,0
2026-08-23,17-55-53,26.0,43.8,1,9600,0,0
2026-08-23,17-56-51,26.0,43.8,1,9600,0,0
2026-08-23,17-56-56,26.0,43.8,1,9600,0,0
2026-08-23,17-57-01,26.0,43.8,1,9600,0,0
2026-08-23,17-57-11,26.0,43.8,1,14400,0,0
2026-08-23,17-57-16,26.0,43.8,1,14400,0,0
2026-08-23,17-57-26,26.0,43.8,1,9600,0,0
2026-08-23,17-57-32,26.0,43.8,1,9600,0,0
2026-08-23,18-01-05,26.0,43.6,1,9600,0,0
2026-08-23,18-01-11,26.0,43.5,1,9600,0,0
2026-08-23,18-01-16,26.0,43.6,1,9600,0,0
2026-08-23,18-08-24,26.0,43.5,1,9600,0,0
2026-08-23,18-08-30,26.0,43.5,1,9600,0,0
2026-08-23,18-08-35,26.0,43.4,1,9600,0,0
2026-08-23,20-07-04,26.1,43.3,1,9600,0,0
2026-08-23,20-07-09,26.0,43.4,1,9600,0,0
2026-08-23,20-07-49,26.0,43.3,1,9600,0,0
2026-08-23,20-07-54,26.0,43.3,1,9600,0,0
2026-08-23,20-10-42,26.0,43.1,1,9600,0,0
2026-08-23,20-10-48,26.1,43.1,1,9600,0,0
2026-08-23,20-12-36,26.0,43.2,1,9600,0,0
2026-08-23,20-12-41,26.1,43.2,1,9600,0,0
2026-08-23,20-12-56,26.1,43.2,1,9600,0,0
2026-08-23,20-13-02,26.1,43.2,1,9600,0,0
2026-08-23,20-14-19,26.1,43.2,1,9600,0,0
2026-08-23,20-15-15,26.0,43.1,1,9600,0,0
2026-08-23,20-15-55,26.2,62.2,1,9600,0,0
2026-08-23,20-16-00,26.2,58.2,1,9600,0,0
2026-08-23,20-20-20,26.0,43.7,1,9600,0,0
2026-08-23,20-20-25,26.0,43.6,1,9600,0,0
2026-08-23,20-20-30,26.0,43.5,1,9600,0,0
2026-08-23,20-20-35,26.0,43.5,1,9600,0,0
2026-08-23,20-20-40,26.0,43.6,1,9600,0,0
2026-08-23,20-20-45,26.0,43.5,1,9600,0,0
2026-08-23,20-24-53,26.0,43.4,1,9600,0,0
2026-08-23,20-24-59,26.0,43.4,1,9600,0,0
2026-08-23,20-25-04,26.0,43.4,1,9600,0,0
2026-08-23,20-25-09,25.9,43.4,1,9600,0,0
2026-08-23,20-25-14,25.9,43.4,1,9600,0,0
2026-08-23,20-25-19,26.0,43.4,1,9600,0,0
2026-08-23,20-25-24,26.0,43.5,1,9600,0,0
2026-08-23,20-25-29,26.0,43.4,1,9600,0,0
2026-08-23,20-25-34,26.0,43.4,1,9600,0,0
2026-09-03,14-06-53,29.3,49.3,1,9600,0,0
2026-09-03,14-06-59,29.3,49.2,1,9600,0,0
2026-09-03,14-07-04,29.3,49.3,1,9600,0,0
2026-09-03,14-07-09,29.3,49.1,1,9600,0,0
2026-09-03,14-07-14,29.3,49.0,1,9600,0,0
2026-09-03,14-07-19,29.4,48.9,1,9600,0,0
2026-09-03,14-07-24,29.4,49.1,1,9600,0,0
2026-09-03,14-07-35,29.4,49.5,1,14400,0,0
2026-09-03,14-07-41,29.4,49.3,1,14400,0,0
2026-09-03,14-32-04,31.0,46.2,1,9600,0,0
2026-09-03,14-32-09,31.0,46.2,1,9600,0,0
2026-09-03,14-32-14,31.0,46.0,1,9600,0,0
